seed,config,iteration,tcr,mean_energy,sigma_energy
0,PSO,0,0.0551440329218107,221.55,0.15000000000000002
0,PSO,1,0.1111111111111111,221.11324682631022,0.29821123453618337
0,PSO,2,0.16790123456790124,220.66448745811755,0.4031919614123419
0,PSO,3,0.21646090534979423,220.1974564642454,0.40187109874161203
0,PSO,4,0.26337448559670784,219.7265223796764,0.40706687801846503
0,PSO,5,0.30617283950617286,219.2265223796764,0.40706687801846503
0,PSO,6,0.3325102880658436,218.779919393458,0.4178780656586793
0,PSO,7,0.3588477366255144,218.38376822021536,0.44135408992678055
0,PSO,8,0.3794238683127572,218.00631875788628,0.531195474267953
0,PSO,9,0.38271604938271603,217.64378100960258,0.5741062695352475
0,PSO,10,0.38271604938271603,217.29315172640298,0.6260622030173789
0,PSO,11,0.38271604938271603,217.0381386117528,0.740581099142295
0,PSO,12,0.38271604938271603,216.68846251148457,0.8820929981138764
0,PSO,13,0.38271604938271603,216.28612469206467,0.9598149705932773
0,PSO,14,0.38271604938271603,215.9222437272725,1.1077160228018368
0,PSO,15,0.38271604938271603,215.59422014748537,1.207301073922444
0,PSO,16,0.38271604938271603,215.2554109903695,1.380061638020436
0,PSO,17,0.38271604938271603,214.94632425734372,1.5444659651854735
0,PSO,18,0.38271604938271603,214.63139821659146,1.7148535901880497
0,PSO,19,0.38271604938271603,214.33636789104966,1.8951280219882294
0,PSO,20,0.38271604938271603,214.0666758442,2.077787983449372
0,PSO,21,0.38271604938271603,213.8763760512772,2.1688982734664255
0,PSO,22,0.38271604938271603,213.61461909775122,2.3329060014624843
0,PSO,23,0.38271604938271603,213.36666541348023,2.492901383331493
0,PSO,24,0.38271604938271603,213.08344166190508,2.7095447300030546
0,PSO,25,0.38271604938271603,212.773318641265,2.9337780704103906
0,PSO,26,0.38271604938271603,212.55427099221203,3.0911514112894705
0,PSO,27,0.38436213991769547,212.31117775025263,3.2545434659771053
0,PSO,28,0.38436213991769547,212.02174670050712,3.4749202278328237
0,PSO,29,0.38436213991769547,211.72540750478151,3.695632951725175
0,PSO,30,0.38436213991769547,211.41787851310482,3.9278824950511844
0,PSO,31,0.38436213991769547,211.14086516297348,4.140232400070942
0,PSO,32,0.38436213991769547,210.83723466778792,4.365007558699969
0,PSO,33,0.38436213991769547,210.57018558950148,4.574499774405941
0,PSO,34,0.38436213991769547,210.3407319910722,4.7611577095544275
