seed,config,scenario,iteration,tcr,mean_energy,sigma_energy,n_transit,n_exploit
10,HYBRID,synthetic,0,0.15772089182493806,221.5553955212591,0.08929818209467882,3,7
10,HYBRID,synthetic,1,0.22791081750619324,221.02777188369654,0.14736720480403798,1,9
10,HYBRID,synthetic,2,0.2584640792733278,220.41522288891946,0.15502496583692624,2,8
10,HYBRID,synthetic,3,0.2857142857142857,219.82821783705032,0.2072682724295109,0,10
10,HYBRID,synthetic,4,0.29232039636663915,219.2179112632231,0.24428184525676006,0,10
10,HYBRID,synthetic,5,0.29644921552436004,218.626784279501,0.302591944668888,1,9
10,HYBRID,synthetic,6,0.2981007431874484,218.07882676379722,0.3984308950458578,0,10
10,HYBRID,synthetic,7,0.3014037985136251,217.48672711246974,0.45257678619940783,1,9
10,HYBRID,synthetic,8,0.30718414533443433,216.884889450629,0.529322399750376,0,10
10,HYBRID,synthetic,9,0.30800990916597853,216.26321227815015,0.5812834907477333,1,9
10,HYBRID,synthetic,10,0.30800990916597853,215.70365028183133,0.665135979460242,1,9
10,HYBRID,synthetic,11,0.31131296449215523,215.10975700239698,0.7529507103400738,0,10
10,HYBRID,synthetic,12,0.31213872832369943,214.50438461450608,0.7963778222585564,0,10
10,HYBRID,synthetic,13,0.31213872832369943,213.90911549516028,0.8578342004301641,0,10
10,HYBRID,synthetic,14,0.3179190751445087,213.29313569769585,0.884743800189772,0,10
10,HYBRID,synthetic,15,0.3179190751445087,212.6730137646076,0.9436037448236962,0,10
10,HYBRID,synthetic,16,0.3179190751445087,212.09431318775674,0.9932815453847232,0,10
10,HYBRID,synthetic,17,0.3179190751445087,211.48247552591596,1.046395567548631,1,9
10,HYBRID,synthetic,18,0.3179190751445087,210.90963281344133,1.1249537114112331,0,10
10,HYBRID,synthetic,19,0.3179190751445087,210.30599342714373,1.1878829317277024,0,10
10,HYBRID,synthetic,20,0.3179190751445087,209.70244003655043,1.235769425424478,2,8
10,HYBRID,synthetic,21,0.319570602807597,209.13438440786848,1.3367715861272482,0,10
10,HYBRID,synthetic,22,0.319570602807597,208.4906480236757,1.3836291993965315,0,10
10,HYBRID,synthetic,23,0.319570602807597,207.87881036183498,1.4351812963959683,0,10
10,HYBRID,synthetic,24,0.319570602807597,207.2876833781129,1.5039006008319218,1,9
10,HYBRID,synthetic,25,0.319570602807597,206.69412998751963,1.5748487444091264,0,10
10,HYBRID,synthetic,26,0.319570602807597,206.11122595625852,1.6315199450602913,0,10
10,HYBRID,synthetic,27,0.32039636663914123,205.51595683691266,1.6898740954361318,0,10
10,HYBRID,synthetic,28,0.32039636663914123,204.91240344631942,1.736442921319908,0,10
10,HYBRID,synthetic,29,0.32039636663914123,204.32127646259735,1.7868315935983363,0,10
10,HYBRID,synthetic,30,0.32039636663914123,203.73843375012274,1.8260258418550455,1,9
10,HYBRID,synthetic,31,0.3212221304706854,203.16973317327182,1.9030139616755084,0,10
10,HYBRID,synthetic,32,0.3212221304706854,202.54989854555043,1.931941261606803,0,10
10,HYBRID,synthetic,33,0.3212221304706854,201.94220301933342,1.9804501930226237,0,10
10,HYBRID,synthetic,34,0.3212221304706854,201.30137040812653,2.0128731965143336,1,9
10,HYBRID,synthetic,35,0.3212221304706854,200.71673852311957,2.1036807384720433,0,10
10,HYBRID,synthetic,36,0.3212221304706854,200.1138415706955,2.140298589912779,0,10
10,HYBRID,synthetic,37,0.3212221304706854,199.5185724513497,2.1951862759947125,0,10
10,HYBRID,synthetic,38,0.3212221304706854,198.8860241113903,2.2330216552120086,1,9
10,HYBRID,synthetic,39,0.3228736581337737,198.29247072079704,2.3009136040647618,0,10
10,HYBRID,synthetic,40,0.3261767134599505,197.70897901961357,2.360990617036088,0,10
10,HYBRID,synthetic,41,0.3261767134599505,197.12613630713895,2.423175575179814,1,9
10,HYBRID,synthetic,42,0.3270024772914946,196.55743573028806,2.5036226405709234,0,10
10,HYBRID,synthetic,43,0.3270024772914946,195.96173502653272,2.5601921615387058,0,10
10,HYBRID,synthetic,44,0.3270024772914946,195.3374709578208,2.606129941544229,0,10
10,HYBRID,synthetic,45,0.3270024772914946,194.75048610972243,2.660909220955557,0,10
10,HYBRID,synthetic,46,0.3270024772914946,194.1593591260004,2.722696541175711,0,10
10,HYBRID,synthetic,47,0.3270024772914946,193.5682321422783,2.780457688640444,0,10
10,HYBRID,synthetic,48,0.3270024772914946,192.98538942980366,2.849545540555031,0,10
